"Title ID","Region","Name","PKG direct link","zRIF","Content ID","Last Modification Date","Original Name","File Size","SHA256","Required FW","App Version"
"PCSE00890","US","10 Second Ninja X","http://zeus.dl.playstation.net/cdn/UP4395/PCSE00890_00/UP4395-PCSE00890_00-10SECNINJAVITAUS_bg_1_97017d2fc8def61a2dbca9151ae7091b31242bf1.pkg","KO5ifR1dQ+eHBpgYW5pCTbWwBNtvaBDs6uzn6eflGOYZ4hgajM9/TNzJyfvaJt23m7FmXohfoMhojA9uAADMRhO8","UP4395-PCSE00890_00-10SECNINJAVITAUS","2018-07-17 14:56:43","","210196384","f6c3d28956fff0edc7d2735bb51eee7f3cd82d805dcad3fd40df5cf7eb5c99eb","3.6","1"
"PCSE00349","US","1001 Spikes","http://zeus.dl.playstation.net/cdn/UP2103/PCSE00349_00/oneMraZVABcmthdgwvoKVMXIqpXgyCrnKrRdTPfkpIZzAqJdfUONQAOsasQqRtua.pkg","KO5ifR1dQ+eHBhgZGhhDTTU2sQTZbwi0JzjA09s1OMwzxDHMEJ//QlSs/mitjt4v2Msker3w4P7RGB/cAADsshPb","UP2103-PCSE00349_00-1001SPIKESVITAV1","2018-06-08 16:12:14","","122689456","f2f6dc72afaab878b2bc8321de8d0b68699448626b5fa1ab7b3704d2281d85aa","3.12","1"
"PCSE00634","US","2013: Infected Wars","http://zeus.dl.playstation.net/cdn/UP2197/PCSE00634_00/UP2197-PCSE00634_00-2013IW0000100000_bg_1_8c0d5677d73dcb284c6ac852e6abeb85809d3503.pkg","KO5ifR1dQ+eHBhgZWppDTTUzNgHZb2RgaOwZDrYObCk+/wWf/qsinyt2+OOT/thLS65dGo3xwQ0AIn0VSQAA","UP2197-PCSE00634_00-2013IW0000100000","2018-05-03 06:04:19","","810648544","588166b1f0703df7acda3c64215e9c2ee74edd37f63bb235b8499cfa872481c4","3.36","1"
"PCSE00972","US","2064: Read Only Memories (3.61+!) [3.65]","http://zeus.dl.playstation.net/cdn/UP0436/PCSE00972_00/UP0436-PCSE00972_00-READONLYMEMORIES_bg_1_fb5bc16f6b69cd757003dacf4fdbfd514e79c129.pkg","KO5ifR1dQ+eHBhiYGJtBTbU0NwLZH+Tq6OLv5xPp6+rrH+TpGozPf4umd91bt4HhbG30g8Qvul18ozE+uAEAYbgV2wAA","UP0436-PCSE00972_00-READONLYMEMORIES","2018-03-10 23:44:05","","1388205632","7156d983f8f5832d371b11ef7277797f3a07165dc8bc87029b92912939d5026e","3.65","1"
"PCSE01169","US","36 Fragments of Midnight (3.61+!) [3.65]","http://zeus.dl.playstation.net/cdn/UP0891/PCSE01169_00/UP0891-PCSE01169_00-RATAG036FRAGMENT_bg_1_19b8927efe6bc4a4d3d4e07e6c28368c9ade8ede.pkg","KO5ifR1dQ+eHBhhYWEJNNTQ0swTZH+QY4uhuYGzmFuTo7uvqF4LPf+JpUZJdUS/ufUvY35KdW68yGuODGwAAHGEUjAAA","UP0891-PCSE01169_00-RATAG036FRAGMENT","2018-05-06 20:28:58","","65557536","0f92d49ff80d42b361d4768c8b6ff1b0400c44a6b4bea687b842d049fbf6ca79","3.65","1"
"PCSE01168","US","7'scarlet (3.61+!) [3.67]","http://zeus.dl.playstation.net/cdn/UP1024/PCSE01168_00/UP1024-PCSE01168_00-SEVENSCARLET0131_bg_1_a0dc91059d75e7765c2a1c1f3467812309346717.pkg","KO5ifR1dQ+eHBhgaGJlATDU0NLMA2R/sGubqF+zsGOTjGmJgaGyIz39fPq9wurNOdUkaz/2I6y2lGaMxPrgBADzgFc8A","UP1024-PCSE01168_00-SEVENSCARLET0131","2018-06-08 15:05:38","","1897984032","69d0c997a61afa11e4b04562c0f0a48a5d1eb7979e76fae676e5ba616a99b17a","3.67","1"
"PCSE00914","US","99Vidas (3.61+!) [3.65]","http://zeus.dl.playstation.net/cdn/UP2158/PCSE00914_00/UP2158-PCSE00914_00-99VIDASPSV160328_bg_1_ad990417846e05785002742c08565fa854f394b7.pkg","KO5ifR1dQ+eHBhgZmlpATbU0NAHZb2kZ5uniGBwQHGZoZmBsZIHPf1+V+M/JX/KMky7997xBTrCMstBi2TCaYmgLALC9FG0A","UP2158-PCSE00914_00-99VIDASPSV160328","2018-04-03 23:01:36","","869157952","4ddb516b189160b0d75ee4fb6fdec37b13e4c0730941945538ea04f69e972778","3.65","1"
"PCSE00726","US","A Boy and His Blob","http://zeus.dl.playstation.net/cdn/UP1012/PCSE00726_00/UP1012-PCSE00726_00-BOYANDBLOBVITA00_bg_1_bd2ea621ff759f1abdc61d15f7a7550ec018e5b5.pkg","KO5ifR1dQ+eHBhgaGBpBTTU3MgPZ7+Qf6ejn4uTj7xTmGQI0DJ//bDm2PNyza/Hkvaqar/O86iaMxvjgBgAdJBUk","UP1012-PCSE00726_00-BOYANDBLOBVITA00","2017-10-29 18:23:49","","1373426880","0d0f8330a355c097a0ef57fa8c1cc8e8cbab7a879f70e8f1a379a8d83f16481c","3.55","1"
"PCSE01095","US","A Hole New World (3.61+!) [3.69]","http://zeus.dl.playstation.net/cdn/UP3686/PCSE01095_00/UP3686-PCSE01095_00-AHOLENEWWVITAUSA_bg_1_b8f1ae4905a4d436a3dc835bd8d091a4ccf746ee.pkg","KO5ifR1dQ+eHBhibWZhBTDU0sDQF2+/h7+Pq5xoeHuYZ4hga7IjPf9/SRK3kj37fZz87vlRvX/qP0Rgf3AAA04oViQAA","UP3686-PCSE01095_00-AHOLENEWWVITAUSA","2019-10-09 01:35:20","A Hole New World","781749168","","3.69","1"
"PCSE01046","US","A Rose in the Twilight (3.61+!) [3.63]","http://zeus.dl.playstation.net/cdn/UP1063/PCSE01046_00/UP1063-PCSE01046_00-ROSE000000000001_bg_1_2f4e4b0aca386c5b3bb7f724cd97ca23e468f6c6.pkg","KO5ifR1dQ+eHBhgamBlDTDU0MDED2R/kD7YCbic+//m8fRYppPR8/fGd29dzbJngPhrjgxsAACpSFKkA","UP1063-PCSE01046_00-ROSE000000000001","2018-03-10 10:38:34","","955959904","49b9d031b9b1658779b229f004268c7a48343d84cbe3b44e280303871f4b87c7","3.63","1"
"PCSE00501","US","A Virus Named TOM","http://zeus.dl.playstation.net/cdn/UP2137/PCSE00501_00/UP2137-PCSE00501_00-AVNTGAMEBYMISFIT_bg_1_08dad5a59771dd86a6116bbf7d16802325ae82ab.pkg","KO5ifR1dQ+eHBhgZGptDTTU1MATbH+YX4u7o6+oU6esZ7OYZgs9/3VMvlbV97rnH/kz97IfNThWUhRbLhtEUQ1sAALu4F2kA","UP2137-PCSE00501_00-AVNTGAMEBYMISFIT","2017-09-26 00:00:00","","613597440","9aa1d9456541ae872d28a6600d18f44c8faf05bcaa528b74d0e5371784732506","3.5","1"
